Check Name,Description,Service,Severity,Pillar
redshift_cluster_audit_logging,Check if Redshift cluster has audit logging enabled,redshift,medium,"Operational Excellence, Security"
redshift_cluster_automated_snapshot,Check if Redshift Clusters have automated snapshots enabled,redshift,medium,"Reliability"
redshift_cluster_automatic_upgrades,Check for Redshift Automatic Version Upgrade,redshift,high,"Reliability, Operational Excellence"
redshift_cluster_encrypted_at_rest,Check if Redshift clusters are encrypted at rest.,redshift,medium,"Security"
redshift_cluster_enhanced_vpc_routing,Check if Redshift clusters are using enhanced VPC routing.,redshift,medium,"Security"
redshift_cluster_in_transit_encryption_enabled,Check if connections to Amazon Redshift clusters are encrypted in transit.,redshift,medium,"Security"
redshift_cluster_multi_az_enabled,Check if Redshift clusters have Multi-AZ enabled.,redshift,medium,"Reliability"
redshift_cluster_non_default_database_name,Check if Redshift clusters are using the default database name.,redshift,medium,"Security"
redshift_cluster_non_default_username,Check if Amazon Redshift clusters are using the default Admin username.,redshift,medium,"Security"
redshift_cluster_public_access,Check for Publicly Accessible Redshift Clusters,redshift,high,"Security"
resourceexplorer2_indexes_found,Resource Explorer Indexes Found,resourceexplorer2,low,"Operational Excellence"
route53_dangling_ip_subdomain_takeover,Check if Route53 Records contains dangling IPs.,route53,high,"Security"
route53_domains_privacy_protection_enabled,Enable Privacy Protection for for a Route53 Domain.,route53,medium,"Security"
route53_domains_transferlock_enabled,Enable Transfer Lock for a Route53 Domain.,route53,medium,"Security"
route53_public_hosted_zones_cloudwatch_logging_enabled,Check if Route53 public hosted zones are logging queries to CloudWatch Logs.,route53,medium,"Operational Excellence, Security"
s3_access_point_public_access_block,Block Public Access Settings enabled on Access Points.,s3,critical,"Security"
s3_account_level_public_access_blocks,Check S3 Account Level Public Access Block.,s3,high,"Security"
s3_bucket_acl_prohibited,Check if S3 buckets have ACLs enabled,s3,medium,"Security"
s3_bucket_cross_account_access,Ensure that general-purpose bucket policies restrict access to other AWS accounts.,s3,high,"Security"
s3_bucket_cross_region_replication,Check if S3 buckets use cross region replication.,s3,low,"Reliability"
s3_bucket_default_encryption,Check if S3 buckets have default encryption (SSE) enabled or use a bucket policy to enforce it.,s3,medium,"Security"
s3_bucket_event_notifications_enabled,Check if S3 buckets have event notifications enabled.,s3,medium,"Operational Excellence"
s3_bucket_kms_encryption,Check if S3 buckets have KMS encryption enabled.,s3,medium,"Security"
s3_bucket_level_public_access_block,Check S3 Bucket Level Public Access Block.,s3,medium,"Security"
s3_bucket_lifecycle_enabled,Check if S3 buckets have a Lifecycle configuration enabled,s3,low,"Cost Optimization"
s3_bucket_no_mfa_delete,Check if S3 bucket MFA Delete is not enabled.,s3,medium,"Security"
s3_bucket_object_lock,Check if S3 buckets have object lock enabled,s3,low,"Security"
s3_bucket_object_versioning,Check if S3 buckets have object versioning enabled,s3,medium,"Reliability"
s3_bucket_policy_public_write_access,Check if S3 buckets have policies which allow WRITE access.,s3,critical,"Security"
s3_bucket_public_access,Ensure there are no S3 buckets open to Everyone or Any AWS user.,s3,critical,"Security"
s3_bucket_public_list_acl,Ensure there are no S3 buckets listable by Everyone or Any AWS customer.,s3,critical,"Security"
s3_bucket_public_write_acl,Ensure there are no S3 buckets writable by Everyone or Any AWS customer.,s3,critical,"Security"
s3_bucket_secure_transport_policy,Check if S3 buckets have secure transport policy.,s3,medium,"Security"
s3_bucket_server_access_logging_enabled,Check if S3 buckets have server access logging enabled,s3,medium,"Operational Excellence, Security"
s3_multi_region_access_point_public_access_block,Block Public Access Settings enabled on Multi Region Access Points.,s3,high,"Security"
sagemaker_endpoint_config_prod_variant_instances,SageMaker endpoint production variants should have at least two initial instances,sagemaker,medium,"Reliability"
sagemaker_models_network_isolation_enabled,Check if Amazon SageMaker Models have network isolation enabled,sagemaker,medium,"Security"
sagemaker_models_vpc_settings_configured,Check if Amazon SageMaker Models have VPC settings configured,sagemaker,medium,"Security"
sagemaker_notebook_instance_encryption_enabled,Check if Amazon SageMaker Notebook instances have data encryption enabled,sagemaker,medium,"Security"
sagemaker_notebook_instance_root_access_disabled,Check if Amazon SageMaker Notebook instances have root access disabled,sagemaker,medium,"Security"
sagemaker_notebook_instance_vpc_settings_configured,Check if Amazon SageMaker Notebook instances have VPC settings configured,sagemaker,medium,"Security"
sagemaker_notebook_instance_without_direct_internet_access_configured,Check if Amazon SageMaker Notebook instances have direct internet access,sagemaker,medium,"Security"
sagemaker_training_jobs_intercontainer_encryption_enabled,Check if Amazon SageMaker Training jobs have intercontainer encryption enabled,sagemaker,medium,"Security"
sagemaker_training_jobs_network_isolation_enabled,Check if Amazon SageMaker Training jobs have network isolation enabled,sagemaker,medium,"Security"
sagemaker_training_jobs_volume_and_output_encryption_enabled,Check if Amazon SageMaker Training jobs have volume and output with KMS encryption enabled,sagemaker,medium,"Security"
sagemaker_training_jobs_vpc_settings_configured,Check if Amazon SageMaker Training job have VPC settings configured.,sagemaker,medium,"Security"
secretsmanager_automatic_rotation_enabled,Check if Secrets Manager secret rotation is enabled.,secretsmanager,medium,"Security"
secretsmanager_not_publicly_accessible,Ensure Secrets Manager secrets are not publicly accessible.,secretsmanager,high,"Security"
secretsmanager_secret_rotated_periodically,Secrets should be rotated periodically,secretsmanager,medium,"Security"
secretsmanager_secret_unused,Ensure secrets manager secrets are not unused,secretsmanager,medium,"Cost Optimization, Operational Excellence"
securityhub_enabled,Check if Security Hub is enabled and its standard subscriptions.,securityhub,medium,"Security"
servicecatalog_portfolio_shared_within_organization_only,Service Catalog portfolios should be shared within an AWS organization only,servicecatalog,high,"Security"
ses_identity_not_publicly_accessible,Ensure that SES identities are not publicly accessible,ses,high,"Security"
shield_advanced_protection_in_associated_elastic_ips,Check if Elastic IP addresses with associations are protected by AWS Shield Advanced.,shield,medium,"Security"
shield_advanced_protection_in_classic_load_balancers,Check if Classic Load Balancers are protected by AWS Shield Advanced.,shield,medium,"Security"
shield_advanced_protection_in_cloudfront_distributions,Check if Cloudfront distributions are protected by AWS Shield Advanced.,shield,medium,"Security"
shield_advanced_protection_in_global_accelerators,Check if Global Accelerators are protected by AWS Shield Advanced.,shield,medium,"Security"
shield_advanced_protection_in_internet_facing_load_balancers,Check if internet-facing Application Load Balancers are protected by AWS Shield Advanced.,shield,medium,"Security"
shield_advanced_protection_in_route53_hosted_zones,Check if Route53 hosted zones are protected by AWS Shield Advanced.,shield,medium,"Security"
sns_subscription_not_using_http_endpoints,Ensure there are no SNS subscriptions using HTTP endpoints,sns,high,"Security"
sns_topics_kms_encryption_at_rest_enabled,Ensure there are no SNS Topics unencrypted,sns,high,"Security"
sns_topics_not_publicly_accessible,Check if SNS topics have policy set as Public,sns,high,"Security"
sqs_queues_not_publicly_accessible,Check if SQS queues have policy set as Public,sqs,critical,"Security"
sqs_queues_server_side_encryption_enabled,Check if SQS queues have Server Side Encryption enabled,sqs,medium,"Security"
ssm_document_secrets,Find secrets in SSM Documents.,ssm,critical,"Security"
ssm_documents_set_as_public,Check if there are SSM Documents set as public.,ssm,high,"Security"
ssm_managed_compliant_patching,Check if EC2 instances managed by Systems Manager are compliant with patching requirements.,ssm,high,"Security"
ssmincidents_enabled_with_plans,Ensure SSM Incidents is enabled with response plans.,ssm,low,"Operational Excellence"
stepfunctions_statemachine_logging_enabled,Step Functions state machines should have logging enabled,stepfunctions,medium,"Operational Excellence, Security"
storagegateway_fileshare_encryption_enabled,Check if AWS StorageGateway File Shares are encrypted with KMS CMK.,storagegateway,low,"Security"
storagegateway_gateway_fault_tolerant,Check if AWS StorageGateway Gateways are hosted in a fault-tolerant environment.,storagegateway,low,"Reliability"
transfer_server_in_transit_encryption_enabled,Transfer Family Servers should have encryption in transit enabled.,transfer,medium,"Security"
trustedadvisor_errors_and_warnings,Check Trusted Advisor for errors and warnings.,trustedadvisor,medium,"Operational Excellence"
trustedadvisor_premium_support_plan_subscribed,Check if a Premium support plan is subscribed,support,low,"Operational Excellence"
vpc_different_regions,Ensure there are VPCs in more than one region,vpc,medium,"Reliability"
vpc_endpoint_connections_trust_boundaries,Find trust boundaries in VPC endpoint connections.,vpc,medium,"Security"
vpc_endpoint_for_ec2_enabled,Amazon EC2 should be configured to use VPC endpoints that are created for the Amazon EC2 service.,vpc,medium,"Cost Optimization, Security"
vpc_endpoint_multi_az_enabled,Amazon VPC Interface Endpoints should have ENIs in more than one subnet.,vpc,medium,"Reliability"
vpc_endpoint_services_allowed_principals_trust_boundaries,Find trust boundaries in VPC endpoint services allowlisted principles.,vpc,medium,"Security"
vpc_flow_logs_enabled,Ensure VPC Flow Logging is Enabled in all VPCs.,vpc,medium,"Operational Excellence, Security"
vpc_peering_routing_tables_with_least_privilege,Ensure routing tables for VPC peering are least access.,vpc,medium,"Security"
vpc_subnet_different_az,Ensure all VPC has subnets in more than one availability zone,vpc,medium,"Reliability"
vpc_subnet_no_public_ip_by_default,Ensure VPC subnets do not assign public IP by default,vpc,medium,"Security"
vpc_subnet_separate_private_public,Ensure all VPC has public and private subnets defined,vpc,medium,"Security"
vpc_vpn_connection_tunnels_up,Both VPN tunnels for an AWS Site-to-Site VPN connection should be up,vpc,medium,"Reliability"
waf_global_rule_with_conditions,AWS WAF Classic Global Rules Should Have at Least One Condition.,waf,medium,"Security"
waf_global_rulegroup_not_empty,Check if AWS WAF Classic Global rule group has at least one rule.,waf,medium,"Security"
waf_global_webacl_logging_enabled,Check if AWS WAF Classic Global WebACL has logging enabled.,waf,medium,"Operational Excellence, Security"
waf_global_webacl_with_rules,Check if AWS WAF Classic Global WebACL has at least one rule or rule group.,waf,medium,"Security"
waf_regional_rule_with_conditions,AWS WAF Classic Regional Rules Should Have at Least One Condition.,waf,medium,"Security"
waf_regional_rulegroup_not_empty,Check if AWS WAF Classic Regional rule group has at least one rule.,waf,medium,"Security"
waf_regional_webacl_with_rules,Check if AWS WAF Classic Regional WebACL has at least one rule or rule group.,waf,medium,"Security"
wafv2_webacl_logging_enabled,Check if AWS WAFv2 WebACL logging is enabled,wafv2,medium,"Operational Excellence, Security"
wafv2_webacl_rule_logging_enabled,Check if AWS WAFv2 WebACL rule or rule group has Amazon CloudWatch metrics enabled.,wafv2,medium,"Operational Excellence"
wafv2_webacl_with_rules,Check if AWS WAFv2 WebACL has at least one rule or rule group.,wafv2,medium,"Security"
wellarchitected_workload_no_high_or_medium_risks,Check for medium and high risks identified in workloads defined in the AWS Well-Architected Tool.,wellarchitected,medium,"Operational Excellence, Security, Reliability, Performance Efficiency, Cost Optimization, Sustainability"
workspaces_volume_encryption_enabled,Ensure that your Amazon WorkSpaces storage volumes are encrypted in order to meet security and compliance requirements,workspaces,high,"Security"
workspaces_vpc_2private_1public_subnets_nat,Ensure that the Workspaces VPC are deployed following the best practices using 1 public subnet and 2 private subnets with a NAT Gateway attached,workspaces,medium,"Reliability, Security"
